Condition ID Values,Definitions for Your Category,Category ID,Category Path
"nicht zutreffend",,167068,"Antiquitäten & Kunst > Alte Berufe > Schlosser > Werkzeug"
"nicht zutreffend",,64545,"Antiquitäten & Kunst > Alte Berufe > Schlosser > Sonstige"
"nicht zutreffend",,167069,"Antiquitäten & Kunst > Alte Berufe > Schmied"
"nicht zutreffend",,169010,"Antiquitäten & Kunst > Alte Berufe > Schneider > Bügeleisen"
"nicht zutreffend",,169011,"Antiquitäten & Kunst > Alte Berufe > Schneider > Nähmaschinen"
"nicht zutreffend",,169012,"Antiquitäten & Kunst > Alte Berufe > Schneider > Werkzeuge"
"nicht zutreffend",,86151,"Antiquitäten & Kunst > Alte Berufe > Schneider > Sonstige"
"nicht zutreffend",,160049,"Antiquitäten & Kunst > Alte Berufe > Schornsteinfeger & Kaminkehrer"
"nicht zutreffend",,78370,"Antiquitäten & Kunst > Alte Berufe > Schuster"
"nicht zutreffend",,167070,"Antiquitäten & Kunst > Alte Berufe > Spinner"
"nicht zutreffend",,166313,"Antiquitäten & Kunst > Alte Berufe > Stellmacher"
"nicht zutreffend",,78371,"Antiquitäten & Kunst > Alte Berufe > Uhrmacher"
"nicht zutreffend",,167071,"Antiquitäten & Kunst > Alte Berufe > Weber"
"nicht zutreffend",,169014,"Antiquitäten & Kunst > Alte Berufe > Zimmermann > Bohrer"
"nicht zutreffend",,169015,"Antiquitäten & Kunst > Alte Berufe > Zimmermann > Hammer"
"nicht zutreffend",,169016,"Antiquitäten & Kunst > Alte Berufe > Zimmermann > Hobel"
"nicht zutreffend",,169017,"Antiquitäten & Kunst > Alte Berufe > Zimmermann > Sägen"
"nicht zutreffend",,169018,"Antiquitäten & Kunst > Alte Berufe > Zimmermann > Schraubzwingen"
"nicht zutreffend",,169019,"Antiquitäten & Kunst > Alte Berufe > Zimmermann > Zangen"
"nicht zutreffend",,64546,"Antiquitäten & Kunst > Alte Berufe > Zimmermann > Sonstige"
"nicht zutreffend",,19367,"Antiquitäten & Kunst > Alte Berufe > Sonstige"
"nicht zutreffend",,27464,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Baden-Württemberg"
"nicht zutreffend",,27465,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Bayern"
"nicht zutreffend",,27466,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Berlin"
"nicht zutreffend",,27467,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Brandenburg"
"nicht zutreffend",,27468,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Bremen"
"nicht zutreffend",,27469,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Hamburg"
"nicht zutreffend",,27470,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Hessen"
"nicht zutreffend",,27471,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Mecklenburg-Vorpommern"
"nicht zutreffend",,27472,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Niedersachsen"
"nicht zutreffend",,27473,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Nordrhein-Westfalen"
"nicht zutreffend",,33141,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Rheinland-Pfalz"
"nicht zutreffend",,27474,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Saarland"
"nicht zutreffend",,27475,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Sachsen"
"nicht zutreffend",,27476,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Sachsen-Anhalt"
"nicht zutreffend",,27477,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Schleswig-Holstein"
"nicht zutreffend",,27478,"Antiquitäten & Kunst > Ansichten & Landkarten > Deutschland > Thüringen"
"nicht zutreffend",,27482,"Antiquitäten & Kunst > Ansichten & Landkarten > Ehemalige deutsche Gebiete > Baltikum & Posen"
"nicht zutreffend",,135677,"Antiquitäten & Kunst > Ansichten & Landkarten > Ehemalige deutsche Gebiete > Elsass-Lothringen"
"nicht zutreffend",,27479,"Antiquitäten & Kunst > Ansichten & Landkarten > Ehemalige deutsche Gebiete > Hinterpommern"
"nicht zutreffend",,122994,"Antiquitäten & Kunst > Ansichten & Landkarten > Ehemalige deutsche Gebiete > Kolonien"
"nicht zutreffend",,135676,"Antiquitäten & Kunst > Ansichten & Landkarten > Ehemalige deutsche Gebiete > Nordschleswig"
"nicht zutreffend",,27480,"Antiquitäten & Kunst > Ansichten & Landkarten > Ehemalige deutsche Gebiete > Ostbrandenburg"
"nicht zutreffend",,27481,"Antiquitäten & Kunst > Ansichten & Landkarten > Ehemalige deutsche Gebiete > Ost- & Westpreußen"
"nicht zutreffend",,45974,"Antiquitäten & Kunst > Ansichten & Landkarten > Ehemalige deutsche Gebiete > Schlesien"
"nicht zutreffend",,58842,"Antiquitäten & Kunst > Ansichten & Landkarten > Österreich"
"nicht zutreffend",,58845,"Antiquitäten & Kunst > Ansichten & Landkarten > Schweiz"
"nicht zutreffend",,27483,"Antiquitäten & Kunst > Ansichten & Landkarten > Afrika"
"nicht zutreffend",,27484,"Antiquitäten & Kunst > Ansichten & Landkarten > Amerika"
"nicht zutreffend",,27485,"Antiquitäten & Kunst > Ansichten & Landkarten > Australien"
"nicht zutreffend",,27486,"Antiquitäten & Kunst > Ansichten & Landkarten > Asien"
"nicht zutreffend",,58839,"Antiquitäten & Kunst > Ansichten & Landkarten > Europa > Benelux"
"nicht zutreffend",,58840,"Antiquitäten & Kunst > Ansichten & Landkarten > Europa > Frankreich"
"nicht zutreffend",,58841,"Antiquitäten & Kunst > Ansichten & Landkarten > Europa > Italien"
"nicht zutreffend",,58843,"Antiquitäten & Kunst > Ansichten & Landkarten > Europa > Osteuropa"
"nicht zutreffend",,58844,"Antiquitäten & Kunst > Ansichten & Landkarten > Europa > Portugal"
"nicht zutreffend",,58846,"Antiquitäten & Kunst > Ansichten & Landkarten > Europa > Skandinavien"
"nicht zutreffend",,27487,"Antiquitäten & Kunst > Ansichten & Landkarten > Europa > Sonstige"
"nicht zutreffend",,26486,"Antiquitäten & Kunst > Ansichten & Landkarten > Sonstige"
"nicht zutreffend",,37083,"Antiquitäten & Kunst > Antike > Originale"
"nicht zutreffend",,37088,"Antiquitäten & Kunst > Antike > Replikate"
"nicht zutreffend",,58784,"Antiquitäten & Kunst > Antikschmuck > Schmuck nach Epochen > Biedermeier"
"nicht zutreffend",,58785,"Antiquitäten & Kunst > Antikschmuck > Schmuck nach Epochen > Historismus"
"nicht zutreffend",,58786,"Antiquitäten & Kunst > Antikschmuck > Schmuck nach Epochen > Jugendstil"
"nicht zutreffend",,58787,"Antiquitäten & Kunst > Antikschmuck > Schmuck nach Epochen > Art Déco"
"nicht zutreffend",,58788,"Antiquitäten & Kunst > Antikschmuck > Schmuck nach Epochen > Sonstige"
"nicht zutreffend",,44545,"Antiquitäten & Kunst > Antikschmuck > Schmuck & Accessoires > Anhänger"
"nicht zutreffend",,44546,"Antiquitäten & Kunst > Antikschmuck > Schmuck & Accessoires > Armbänder"
"nicht zutreffend",,44547,"Antiquitäten & Kunst > Antikschmuck > Schmuck & Accessoires > Armreifen"
"nicht zutreffend",,92928,"Antiquitäten & Kunst > Antikschmuck > Schmuck & Accessoires > Broschen > Glas"
"nicht zutreffend",,78292,"Antiquitäten & Kunst > Antikschmuck > Schmuck & Accessoires > Broschen > Gold"
"nicht zutreffend",,92929,"Antiquitäten & Kunst > Antikschmuck > Schmuck & Accessoires > Broschen > Perlen"
"nicht zutreffend",,78294,"Antiquitäten & Kunst > Antikschmuck > Schmuck & Accessoires > Broschen > Silber"
"nicht zutreffend",,92927,"Antiquitäten & Kunst > Antikschmuck > Schmuck & Accessoires > Broschen > Strass"
"nicht zutreffend",,44548,"Antiquitäten & Kunst > Antikschmuck > Schmuck & Accessoires > Broschen > Sonstige"
"nicht zutreffend",,58780,"Antiquitäten & Kunst > Antikschmuck > Schmuck & Accessoires > Haarschmuck"
"nicht zutreffend",,44549,"Antiquitäten & Kunst > Antikschmuck > Schmuck & Accessoires > Hutnadeln"
"nicht zutreffend",,78296,"Antiquitäten & Kunst > Antikschmuck > Schmuck & Accessoires > Ketten > Gold"
"nicht zutreffend",,78297,"Antiquitäten & Kunst > Antikschmuck > Schmuck & Accessoires > Ketten > Perlen"
"nicht zutreffend",,78298,"Antiquitäten & Kunst > Antikschmuck > Schmuck & Accessoires > Ketten > Silber"
